Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Remarks
,dnstwist_dns_active,http://axisfm.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://airindian.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airindiae.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airindiaa.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aibindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aipindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aarindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://akrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://ahrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aivindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airandia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airineia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airinfia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://cirindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://ayrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://amrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airlndla.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airimdia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airindiia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airinndia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
